Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|1|M. Pupo|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|2|Y. Dora|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|3|G. Medina|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|4|G. Colapinto|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|5|S. Pupo|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|6|K. Igarashi|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|7|B. Mamiya|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|8|L. Fioravanti|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|9|G. Pittar|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|10|F. Toledo|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|11|I. Ferreira|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|12|R. Waida|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|13|M. Mignot|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|14|J. Smith|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|15|J. Marshall|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|16|A. Muniz|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|17|D. Henry|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|18|X. Huxtable|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|19|E. Ewing|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|20|L. Thompson|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|21|J. Vaughan|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|22|C. O'Leary|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|23|K. Vaast|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|24|M. Cibilic|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|25|M. Herdy|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|26|J. Chianca|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|27|C. Colapinto|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|28|E. Hanneman|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|29|S. Moniz|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|30|C. Houshmand|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|31|J. Robinson|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|32|A. Cleland|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|33|L. O'Brien|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|34|R. Boukhiam|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|35|C. Robson|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|36|O. Berry|||
