Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|9|I. Ferreira|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|9|R. Boukhiam|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|17|L. Fioravanti|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|3|J. Robinson|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|9|R. Callinan|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|5|I. deVault|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|1|G. Colapinto|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|5|B. Mamiya|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|17|K. Slater|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|9|J. Florence|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|17|K. Igarashi|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|17|T. Gukilau|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|3|E. Ewing|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|17|C. Houshmand|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|9|S. Moniz|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|5|Y. Dora|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|9|J. Marshall|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|17|L. O'Brien|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|17|J. Smith|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|2|R. Waida|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|17|M. McGillivray|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|5|G. Medina|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|9|C. Colapinto|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|9|C. O'Leary|||
