Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|1|J. Smith|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|2|G. Colapinto|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|3|B. Mamiya|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|3|C. Colapinto|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|5|C. O'Leary|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|5|I. deVault|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|5|J. Willcox|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|5|L. Fioravanti|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|K. Igarashi|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|A. Cleland|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|J. Chianca|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|M. McDonagh|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|M. Mignot|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|M. Pupo|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|J. Marshall|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|J. Bunch|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|F. Toledo|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|E. Ewing|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|M. McGillivray|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|E. Groggia|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|Y. Dora|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|L. O'Brien|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|W. Vincent|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|I. Ferreira|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|G. Pittar|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|J. Robinson|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|I. Gentil|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|C. Houshmand|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|S. Pupo|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|I. Gouveia|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|R. Waida|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|J. Vaughan|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|33|R. Callinan|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|33|A. Muniz|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|33|D. Silva|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|33|S. Moniz|||
