Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|17|K. Igarashi|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|9|K. Slater|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|9|K. Andino|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|17|G. Colapinto|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|9|J. Andre|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|17|L. Mesinas|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|9|M. Cibilic|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|2|D. Silva|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|9|R. Waida|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|17|F. Toledo|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|9|J. Flores|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|33|J. Corzo|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|5|I. Ferreira|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|17|P. Crisanto|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|3|M. Herdy|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|5|G. Medina|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|1|J. Robinson|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|33|D. Cadena|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|5|C. Coffin|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|17|M. McGillivray|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|17|A. Buchan|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|9|Y. Dora|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|17|O. Wright|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|17|M. Wright|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|5|F. Morais|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|17|C. Ibelli|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|33|A. Ribeiro|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|17|R. Callinan|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|3|L. Fioravanti|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|33|C. O'Leary|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|17|A. de Souza|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|9|E. Ewing|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|17|M. Bourez|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|17|S. Moniz|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|17|M. Pupo|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|17|W. Carmichael|||
