Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|3|I. Ferreira|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|9|M. McGillivray|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|17|J. Chianca|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|17|G. Colapinto|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|17|J. Marshall|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|9|M. Rodrigues|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|9|J. Robinson|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|2|S. Pupo|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|5|M. Herdy|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|1|F. Toledo|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|9|N. Young|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|9|M. Tudela|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|17|K. Igarashi|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|17|K. Andino|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|3|Y. Dora|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|9|E. Ewing|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|5|C. O'Leary|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|17|G. Medina|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|5|C. Robson|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|17|J. Smith|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|9|J. Baker|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|5|M. Pupo|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|9|C. Ibelli|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|17|J. Andre|||
