Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|1|J. Florence|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|2|G. Medina|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|3|I. Ferreira|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|4|K. Slater|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|5|J. Flores|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|6|L. Fioravanti|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|7|K. Igarashi|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|8|J. Smith|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|9|J. Robinson|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|10|J. Andre|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|11|C. Ibelli|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|12|P. Crisanto|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|13|J. Freestone|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|14|M. McGillivray|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|15|R. Callinan|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|16|M. Pupo|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|17|J. Wilson|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|18|C. O'Leary|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|19|S. Moniz|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|20|D. Silva|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|21|E. Ewing|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|22|K. Andino|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|23|M. Wright|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|24|Y. Dora|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|25|M. Cibilic|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|26|W. Carmichael|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|27|F. Morais|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|28|G. Colapinto|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|29|M. Bourez|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|30|F. Toledo|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|31|J. Moniz|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|32|S. Zietz|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|33|C. Coffin|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|34|A. Ribeiro|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|35|A. de Souza|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|36|M. Tudela|||
