Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|9|E. Ewing|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|17|J. Smith|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|5|J. Andre|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|1|J. Robinson|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|17|K. Slater|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|17|J. Baker|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|9|J. Florence|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|9|K. Andino|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|17|Y. Dora|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|2|F. Toledo|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|17|N. Young|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|9|R. Waida|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|9|I. Ferreira|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|17|C. Ibelli|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|9|J. Marshall|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|5|K. Igarashi|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|5|G. Colapinto|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|5|M. McGillivray|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|17|B. Mamiya|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|9|M. Pupo|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|3|C. O'Leary|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|3|G. Medina|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|17|C. Robson|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|9|S. Pupo|||
