Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|1|C. O'Leary|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|2|Y. Dora|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|3|G. Colapinto|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|3|F. Toledo|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|5|K. Igarashi|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|5|E. Ewing|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|5|M. Mignot|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|5|L. Fioravanti|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|9|I. Ferreira|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|9|J. Marshall|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|9|J. Smith|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|9|C. Colapinto|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|9|C. Houshmand|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|9|J. Robinson|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|9|J. Chianca|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|9|B. Mamiya|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|17|S. Moniz|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|17|J. Vaughan|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|17|A. Muniz|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|17|M. McGillivray|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|17|L. Thompson|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|17|R. Waida|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|17|M. Pupo|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|17|A. Cleland|||
