Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|1|G. Colapinto|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|2|F. Toledo|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|3|I. Ferreira|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|4|J. Florence|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|5|J. Smith|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|6|K. Igarashi|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|7|K. Andino|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|8|C. Coffin|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|9|F. Morais|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|10|M. Pupo|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|11|C. O'Leary|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|12|C. Robson|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|13|J. Marshall|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|14|K. Slater|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|15|J. Baker|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|16|N. Young|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|C. Ibelli|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|18|S. Moniz|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|19|M. Cibilic|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|20|J. Chianca|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|21|E. Ewing|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|22|J. Robinson|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|23|S. Pupo|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|24|E. Lau|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|25|L. Mesinas|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|26|J. Becret|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|27|O. Wright|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|28|B. Mamiya|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|29|L. Fioravanti|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|30|J. Andre|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|31|R. Callinan|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|32|I. deVault|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|33|V. Ribeiro|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|34|M. McGillivray|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|35|D. Silva|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|36|A. Antunes|||
