Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|1|B. Mamiya|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|2|J. Florence|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|3|C. O'Leary|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|4|I. Gentil|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|5|L. Fioravanti|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|6|I. deVault|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|7|J. Smith|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|8|E. Ewing|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|9|L. O'Brien|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|10|C. Colapinto|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|11|G. Colapinto|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|12|J. Marshall|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|13|M. McGillivray|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|14|C. Robson|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|15|R. Boukhiam|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|16|Y. Dora|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|J. Willcox|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|18|I. Ferreira|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|19|S. Pupo|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|20|S. Moniz|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|21|S. Crawford|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|22|J. Robinson|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|23|M. Pupo|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|24|K. Matson|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|25|D. Silva|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|26|R. Callinan|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|27|F. Morais|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|28|J. Bunch|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|29|E. Hanneman|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|30|K. Igarashi|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|31|K. Slater|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|32|G. Medina|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|33|C. Ibelli|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|34|C. Houshmand|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|35|F. Toledo|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|36|R. Waida|||
