Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|1|F. Toledo|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|2|J. Smith|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|3|G. Colapinto|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|4|M. McGillivray|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|5|I. Ferreira|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|6|R. Callinan|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|7|S. Moniz|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|8|J. Florence|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|K. Igarashi|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|10|C. Ibelli|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|11|F. Morais|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|12|G. Medina|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|13|J. Andre|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|14|J. Wilson|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|15|P. Crisanto|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|16|J. Flores|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|J. Robinson|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|18|M. Cibilic|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|19|J. Willcox|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|20|M. Bourez|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|21|A. Ribeiro|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|22|O. Wright|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|23|A. de Souza|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|24|C. Coffin|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|25|C. O'Leary|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|26|M. Pupo|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|27|L. Fioravanti|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|28|Y. Dora|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|29|A. Buchan|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|30|W. Carmichael|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|31|D. Silva|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|32|E. Ewing|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|33|J. Freestone|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|34|M. Wright|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|35|C. Cox|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|36|R. Heazlewood|||
