Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|1|I. Ferreira|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|2|M. Cibilic|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|3|Y. Dora|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|4|G. Colapinto|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|5|C. Houshmand|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|6|F. Toledo|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|7|R. Waida|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|8|M. Pupo|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|9|G. Medina|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|10|K. Igarashi|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|11|L. Fioravanti|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|12|J. Robinson|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|13|M. Mignot|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|14|A. Muniz|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|15|L. O'Brien|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|16|C. Colapinto|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|17|K. Vaast|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|18|G. Pittar|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|19|C. O'Leary|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|20|J. Vaughan|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|21|M. Herdy|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|22|J. Marshall|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|23|J. Chianca|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|24|A. Cleland|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|25|L. Thompson|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|26|S. Pupo|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|27|E. Hanneman|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|28|E. Ewing|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|29|C. Robson|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|30|S. Moniz|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|31|B. Mamiya|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|32|J. Smith|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|33|O. Berry|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|34|B. Stairmand|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|35|R. Boukhiam|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|36|T. Butland|||
