Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|1|I. Ferreira|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|2|J. Florence|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|3|G. Medina|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|4|R. Boukhiam|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|5|K. Slater|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|6|R. Callinan|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|7|Y. Dora|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|8|R. Waida|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|C. Houshmand|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|10|M. Braye|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|11|J. Marshall|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|12|E. Ewing|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|13|C. Colapinto|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|14|B. Mamiya|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|15|J. Smith|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|16|K. Igarashi|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|S. Moniz|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|18|L. O'Brien|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|19|G. Colapinto|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|20|M. McGillivray|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|21|J. Robinson|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|22|C. O'Leary|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|23|I. deVault|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|24|L. Fioravanti|||
