Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|5|K. Igarashi|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|5|Y. Dora|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|33|C. O'Leary|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|9|J. Florence|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|3|F. Morais|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|17|A. Ribeiro|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|9|F. Toledo|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|17|A. de Souza|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|17|M. Wright|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|9|J. Smith|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|33|A. Buchan|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|9|R. Heazlewood|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|1|G. Medina|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|9|J. Andre|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|17|D. Moffat|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|9|I. Ferreira|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|5|M. Cibilic|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|17|M. Fanning|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|17|J. Flores|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|17|P. Crisanto|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|5|E. Ewing|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|17|R. Callinan|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|17|M. Bourez|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|33|L. Fioravanti|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|17|O. Wright|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|17|S. Moniz|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|33|M. McGillivray|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|17|J. Wilson|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|2|C. Coffin|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|17|M. Pupo|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|17|J. Freestone|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|17|W. Carmichael|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|17|D. Silva|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|3|G. Colapinto|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|9|C. Ibelli|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|9|J. Robinson|||
